time,PM2.5
2024-02-21 16:39:21,0.17
2024-02-21 16:39:22,0.6
2024-02-21 16:39:23,0.8
2024-02-21 16:39:25,0.64
2024-02-21 16:39:28,0.27
2024-02-21 16:39:29,0.05
2024-02-21 16:39:31,0.38
2024-02-21 16:39:32,0.58
2024-02-21 16:39:35,0.92
2024-02-21 16:39:40,1.39
2024-02-21 16:39:44,0.98
2024-02-21 16:39:48,0.78
2024-02-21 16:39:55,0.47
2024-02-21 16:40:02,0.33
2024-02-21 16:40:03,0.72
2024-02-21 16:40:11,0.84
2024-02-21 16:40:13,1.26
2024-02-21 16:40:15,1.52
2024-02-21 16:40:16,1.92
2024-02-21 16:40:19,1.5
2024-02-21 16:40:21,1.78
2024-02-21 16:40:23,2.27
2024-02-21 16:40:28,1.86
2024-02-21 16:40:34,1.76
2024-02-21 16:40:36,1.43
2024-02-21 16:40:43,1.27
2024-02-21 16:40:44,0.88
2024-02-21 16:40:52,0.74
2024-02-21 16:40:55,0.33
2024-02-21 16:41:02,0.11
2024-02-21 16:41:04,0.0
2024-02-21 16:41:08,0.0
2024-02-21 16:41:10,0.0
2024-02-21 16:41:13,0.0
2024-02-21 16:41:22,0.0
2024-02-21 16:41:30,0.38
2024-02-21 16:41:34,0.09
2024-02-21 16:41:41,0.0
2024-02-21 16:41:42,0.0
2024-02-21 16:41:44,0.0
2024-02-21 16:41:49,0.0
2024-02-21 16:41:57,0.26
2024-02-21 16:42:04,0.43
2024-02-21 16:42:12,0.22
2024-02-21 16:42:14,0.0
2024-02-21 16:42:21,0.0
2024-02-21 16:42:22,0.44
2024-02-21 16:42:25,0.77
2024-02-21 16:42:30,1.06
2024-02-21 16:42:38,1.31
2024-02-21 16:42:42,1.43
2024-02-21 16:42:45,0.93
2024-02-21 16:42:47,0.77
2024-02-21 16:42:54,0.32
2024-02-21 16:43:00,0.03
2024-02-21 16:43:03,0.0
2024-02-21 16:43:11,0.0
2024-02-21 16:43:12,0.0
2024-02-21 16:43:20,0.0
2024-02-21 16:43:23,0.0
2024-02-21 16:43:31,0.11
2024-02-21 16:43:32,0.24
2024-02-21 16:43:33,0.71
2024-02-21 16:43:41,1.0
2024-02-21 16:43:45,1.14
2024-02-21 16:43:49,1.46
2024-02-21 16:43:50,1.7
2024-02-21 16:43:55,2.01
2024-02-21 16:43:58,2.15
2024-02-21 16:44:02,1.86
