Timestamp,"PM1.0 (µg/m³)","PM2.5 (µg/m³)","PM4.0 (µg/m³)","PM10.0 (µg/m³)","Humidity (%)","Temperature (°C)"
27/03/2021 09:21:12,0.42,0.26,0.44,0.35,53.28,22.59
27/03/2021 09:21:13,1.12,0.72,1.47,1.76,49.49,27.61
27/03/2021 09:21:19,1.4,1.15,1.27,1.6,56.88,25.99
27/03/2021 09:21:20,1.49,1.32,2.13,2.23,56.11,23.13
27/03/2021 09:21:23,1.17,1.21,1.36,1.82,51.71,23.86
27/03/2021 09:21:25,0.91,0.93,1.65,1.71,57.37,22.63
27/03/2021 09:21:31,0.72,0.77,1.22,1.59,44.12,19.46
27/03/2021 09:21:37,0.83,0.44,1.18,1.32,42.24,23.48
27/03/2021 09:21:39,0.53,0.25,0.33,0.51,45.39,25.33
27/03/2021 09:21:45,0.8,0.49,0.93,0.65,41.14,28.1
27/03/2021 09:21:47,0.27,0.29,1.0,0.5,50.62,24.54
27/03/2021 09:21:49,0.48,0.0,0.37,0.81,58.73,26.42
27/03/2021 09:21:50,0.42,0.0,0.44,0.79,40.79,17.4
27/03/2021 09:21:53,0.11,0.0,0.49,0.54,42.44,21.92
27/03/2021 09:21:59,0.09,0.0,0.32,0.54,49.04,15.14
27/03/2021 09:22:00,0.09,0.0,0.44,0.6,58.68,18.7
27/03/2021 09:22:04,0.38,0.25,0.68,0.48,46.32,25.9
27/03/2021 09:22:08,0.26,0.0,0.63,0.82,50.14,29.88
27/03/2021 09:22:09,0.22,0.0,0.03,0.38,40.83,16.49
27/03/2021 09:22:19,0.15,0.0,0.2,0.34,42.97,21.02
27/03/2021 09:22:23,0.31,0.0,0.67,0.47,59.73,27.0
27/03/2021 09:22:25,0.48,0.46,1.13,0.64,59.3,18.06
27/03/2021 09:22:28,0.66,0.57,0.95,0.89,40.1,23.33
27/03/2021 09:22:34,0.43,0.27,0.73,1.02,59.04,26.0
27/03/2021 09:22:35,0.23,0.0,0.19,0.07,52.78,24.24
27/03/2021 09:22:41,0.39,0.0,0.13,0.54,57.36,17.82
27/03/2021 09:22:43,0.1,0.0,0.32,0.22,49.09,20.33
27/03/2021 09:22:49,0.26,0.0,0.25,0.35,50.31,26.76
27/03/2021 09:22:54,0.3,0.0,0.41,0.26,49.78,23.31
27/03/2021 09:22:57,0.02,0.0,0.05,0.32,53.34,15.08
27/03/2021 09:23:01,0.3,0.0,0.68,0.65,42.79,26.41
27/03/2021 09:23:04,0.09,0.0,0.69,0.27,40.6,15.53
27/03/2021 09:23:10,0.03,0.0,0.49,0.51,46.16,26.19
27/03/2021 09:23:15,0.47,0.0,0.38,0.43,54.09,18.04
27/03/2021 09:23:17,0.48,0.0,0.22,0.6,44.04,29.37
27/03/2021 09:23:21,0.4,0.0,0.57,0.84,53.47,20.52
27/03/2021 09:23:28,0.15,0.0,0.48,0.66,59.4,19.9
27/03/2021 09:23:34,0.05,0.0,0.11,0.19,41.88,17.23
27/03/2021 09:23:38,0.34,0.0,0.64,0.03,53.45,19.58
27/03/2021 09:23:43,0.22,0.0,0.58,0.24,48.88,28.15
27/03/2021 09:23:51,0.46,0.44,1.15,1.11,57.36,29.95
27/03/2021 09:23:53,0.81,0.63,1.2,0.87,43.54,20.52
27/03/2021 09:24:00,0.98,1.07,1.61,1.84,53.85,21.73
27/03/2021 09:24:04,1.62,1.29,1.71,2.21,56.76,25.83
27/03/2021 09:24:06,1.59,1.62,2.43,2.41,58.89,28.29
27/03/2021 09:24:13,1.95,1.8,2.59,3.03,53.66,23.9
