Timestamp,"PM1.0 (µg/m³)","PM2.5 (µg/m³)","PM4.0 (µg/m³)","PM10.0 (µg/m³)","Humidity (%)","Temperature (°C)"
03/04/2021 10:02:03,0.41,0.25,0.71,0.97,53.66,23.41
03/04/2021 10:02:04,1.11,0.7,1.18,1.18,49.94,24.05
03/04/2021 10:02:05,1.1,0.82,1.53,1.58,52.36,25.15
03/04/2021 10:02:06,1.33,1.15,1.3,1.92,57.38,27.07
03/04/2021 10:02:07,1.51,1.59,1.95,2.66,51.41,19.05
03/04/2021 10:02:08,1.83,1.95,2.81,3.38,40.61,27.38
03/04/2021 10:02:09,2.01,2.2,3.04,3.52,58.62,22.47
03/04/2021 10:02:10,2.62,2.43,2.99,3.35,53.79,16.16
03/04/2021 10:02:11,2.87,2.85,3.57,3.73,53.53,15.88
03/04/2021 10:02:13,2.59,2.48,2.92,3.46,44.31,20.01
03/04/2021 10:02:16,1.92,2.12,2.46,3.29,53.18,26.77
03/04/2021 10:02:19,2.73,2.49,3.06,3.28,47.88,25.62
03/04/2021 10:02:23,2.44,2.25,2.72,3.37,53.02,26.83
03/04/2021 10:02:24,1.81,1.89,2.49,2.99,42.13,22.76
03/04/2021 10:02:26,1.58,1.65,1.87,2.45,53.16,21.6
03/04/2021 10:02:28,1.15,1.18,1.98,2.23,59.99,17.21
03/04/2021 10:02:29,0.81,0.73,1.49,1.04,40.96,19.92
03/04/2021 10:02:32,0.53,0.3,0.82,0.46,59.54,21.51
03/04/2021 10:02:38,0.37,0.17,0.56,0.88,48.14,16.33
03/04/2021 10:02:42,0.46,0.35,0.6,0.9,57.42,18.31
03/04/2021 10:02:45,0.79,0.54,1.16,1.32,55.65,23.97
03/04/2021 10:02:50,0.97,1.0,1.58,1.69,51.34,26.03
03/04/2021 10:02:53,1.15,1.11,1.33,1.66,54.77,29.98
03/04/2021 10:02:56,1.59,1.56,2.35,2.77,57.57,29.0
03/04/2021 10:02:59,1.41,1.31,2.02,2.42,48.08,24.64
03/04/2021 10:03:05,1.82,1.59,2.41,2.69,46.54,21.32
03/04/2021 10:03:06,1.1,1.11,1.73,1.69,53.35,24.54
03/04/2021 10:03:10,1.43,1.3,1.86,2.22,56.16,26.78
03/04/2021 10:03:13,1.37,1.19,1.6,1.87,55.25,16.78
03/04/2021 10:03:19,0.74,0.8,1.53,1.12,55.96,21.15
03/04/2021 10:03:22,1.41,1.23,1.96,2.42,48.71,27.6
